㐀;qiu;1;qīu
㐁;tian;3;tǐan
㐄;kua;4;kùa
㐅;wu;3;wǔ
㐆;yin;3;yǐn
㐌;si;4;sì
㐖;ye;4;yè
㐜;chou;2;chóu
㐡;nuo;4;nùo
㐤;qiu;2;qíu
㐨;xu;4;xù
㐩;xing;2;xíng
㐫;xiong;1;xīong
㐬;liu;2;líu
㐭;lin;3;lǐn
㐮;xiang;1;xīang
㐯;yong;1;yōng
㐰;xin;4;xìn
㐱;zhen;3;zhěn
㐲;dai;4;dài
㐳;wu;4;wù
㐴;pan;1;pān
㐷;ma;3;mǎ
㐸;qian;4;qìan
㐹;yi;4;yì
㐺;zhong;4;zhòng
㐻;n;3;n
㐼;cheng;4;chèng
㑁;zhuo;1;zhūo
㑂;fang;3;fǎng
㑃;ao;3;ǎo
㑄;wu;3;wǔ
㑅;zuo;4;zùo
㑇;zhou;4;zhòu
㑈;dong;4;dòng
㑉;su;4;sù
㑊;yi;4;yì
㑋;jiong;4;jìong
㑌;wang;1;wāng
㑍;lei;3;lěi
㑎;nao;3;nǎo
㑏;zhu;4;zhù
㑔;xu;3;xǔ
㑘;jie;4;jìe
㑙;die;2;díe
㑚;nuo;2;núo
㑛;su;4;sù
㑜;yi;4;yì
㑝;long;4;lòng
㑞;ying;4;yìng
㑟;beng;3;běng
㑣;lan;2;lán
㑤;miao;2;míao
㑥;yi;4;yì
㑦;li;4;lì
㑧;ji;4;jì
㑨;yu;3;yǔ
㑩;luo;2;lúo
㑪;chai;2;chái
㑮;hun;2;hún
㑯;xu;3;xǔ
㑰;hui;4;hùi
㑱;rao;3;rǎo
㑳;zhou;4;zhòu
㑵;han;4;hàn
㑶;xi;4;xì
㑷;tai;4;tài
㑸;ai;3;ǎi
㑹;hui;4;hùi
㑺;jun;4;jùn
㑻;ma;4;mà
㑼;lve;4;lǜe
㑽;tang;2;táng
㑾;xiao;2;xíao
㑿;tiao;2;tíao
㒀;zha;3;zhǎ
㒁;yu;3;yǔ
㒂;ku;4;kù
㒃;er;4;èr
㒄;nang;4;nàng
㒅;qi;3;qǐ
㒆;chi;4;chì
㒇;mu;4;mù
㒈;han;4;hàn
㒉;tang;3;tǎng
㒊;se;4;sè
㒌;qiong;2;qíong
㒍;lei;2;léi
㒎;sa;3;sǎ
㒑;hui;4;hùi
㒒;pu;2;pú
㒓;ta;4;tà
㒔;shu;3;shǔ
㒖;ou;3;ǒu
㒗;tai;2;tái
㒙;mian;2;mían
㒚;wen;3;wěn
㒛;diao;4;dìao
㒜;yu;2;yú
㒝;mie;4;mìe
㒞;jun;4;jùn
㒟;niao;3;nǐao
㒠;xie;4;xìe
㒡;you;2;yóu
㒤;she;4;shè
㒦;lei;3;lěi
㒧;li;4;lì
㒩;luo;3;lǔo
㒫;ji;4;jì
㒰;quan;2;qúan
㒲;cai;2;cái
㒳;liang;3;lǐang
㒴;gu;3;gǔ
㒵;mao;4;mào
㒷;gua;3;gǔa
㒸;sui;4;sùi
㒻;mao;4;mào
㒼;man;2;mán
㒾;shi;4;shì
㒿;li;2;lí
㓁;wang;3;wǎng
㓂;kou;4;kòu
㓃;chui;2;chúi
㓄;zhen;4;zhèn
㓈;bing;4;bìng
㓉;huan;4;hùan
㓊;dong;4;dòng
㓋;gong;4;gòng
㓎;lian;2;lían
㓏;jiong;3;jǐong
㓐;lu;4;lù
㓑;xing;4;xìng
㓓;nan;2;nán
㓔;xie;4;xìe
㓖;bi;4;bì
㓗;jie;2;jíe
㓘;su;4;sù
㓜;you;4;yòu
㓝;xing;2;xíng
㓞;qi;4;qì
㓠;dian;4;dìan
㓡;fu;3;fǔ
㓢;luo;4;lùo
㓣;qia;4;qìa
㓤;jie;2;jíe
㓧;yan;3;yǎn
㓨;ci;2;cí
㓪;lang;3;lǎng
㓭;he;2;hé
㓯;li;2;lí
㓰;hua;4;hùa
㓱;tou;2;tóu
㓲;pian;4;pìan
㓴;jun;4;jùn
㓵;e;4;è
㓶;qie;4;qìe
㓷;yi;4;yì
㓸;jue;2;júe
㓹;rui;4;rùi
㓺;jian;4;jìan
㓼;chi;4;chì
㓽;chong;2;chóng
㓾;chi;2;chí
㔀;lve;4;lǜe
㔂;lin;2;lín
㔃;jue;2;júe
㔄;su;4;sù
㔅;xiao;4;xìao
㔆;chan;2;chán
㔉;zhu;2;zhú
㔊;dan;3;dǎn
㔋;jian;4;jìan
㔌;zhou;4;zhòu
㔍;duo;3;dǔo
㔎;xie;4;xìe
㔏;li;4;lì
㔑;chi;4;chì
㔒;xi;2;xí
㔓;jian;3;jǐan
㔕;ji;2;jí
㔗;fei;4;fèi
㔘;chu;4;chù
㔙;bang;3;bǎng
㔚;kou;3;kǒu
㔜;ba;2;bá
㔝;liang;3;lǐang
㔞;kuai;4;kùai
㔠;he;2;hé
㔢;jue;2;júe
㔣;lei;2;léi
㔤;shen;3;shěn
㔥;pi;2;pí
㔦;yang;3;yǎng
㔧;lv;4;lǜ
